S,LPE,NP,ANH,TIC,Newborn
0.38,0.53,2,157,3,0
0.8,0.86,5,262,6,0
0.11,0.88,7,272,4,0
0.72,0.87,5,223,5,0
0.37,0.52,2,159,3,0
0.41,0.5,2,153,3,0
0.1,0.77,6,247,4,0
0.92,0.85,5,259,5,0
0.89,1,5,224,5,0
0.42,0.53,2,142,3,0
0.45,0.54,2,135,3,0
0.11,0.81,6,305,4,0
0.84,0.92,4,234,5,0
0.41,0.55,2,148,3,0
0.36,0.56,2,137,3,0
0.38,0.54,2,143,3,0
0.45,0.47,2,160,3,0
0.78,0.99,4,255,6,0
0.45,0.51,2,160,3,1
0.76,0.89,5,262,5,0
0.11,0.83,6,282,4,0
0.38,0.55,2,147,3,0
0.09,0.95,6,304,4,0
0.46,0.57,2,139,3,0
0.4,0.53,2,158,3,0
0.89,0.92,5,242,5,0
0.82,0.87,4,239,5,0
0.4,0.49,2,135,3,0
0.41,0.46,2,128,3,0
0.38,0.5,2,132,3,0
0.09,0.62,6,294,4,0
0.45,0.57,2,134,3,0
0.4,0.51,2,145,3,0
0.45,0.55,2,140,3,0
0.84,0.87,4,246,6,0
0.1,0.94,6,255,4,0
0.38,0.46,2,137,3,0
0.45,0.5,2,126,3,0
0.11,0.89,6,306,4,0
0.41,0.54,2,152,3,0
0.87,0.88,5,269,5,0
0.45,0.48,2,158,3,0
0.4,0.46,2,127,3,0
0.1,0.8,7,281,4,0
0.09,0.89,6,276,4,0
0.84,0.74,3,182,4,0
0.4,0.55,2,147,3,0
0.57,0.7,3,273,6,0
0.4,0.54,2,148,3,0
0.43,0.47,2,147,3,0
0.13,0.78,6,152,2,0
0.44,0.55,2,135,3,0
0.38,0.55,2,134,3,0
0.39,0.54,2,132,3,0
0.1,0.92,7,307,4,0
0.37,0.46,2,140,3,0
0.11,0.94,7,255,4,0
0.1,0.81,6,309,4,0
0.38,0.54,2,128,3,0
0.85,1,4,225,5,0
0.85,0.91,5,226,5,0
0.11,0.93,7,308,4,0
0.1,0.95,6,244,5,0
0.36,0.56,2,132,3,0
0.11,0.94,6,286,4,0
0.81,0.7,6,161,4,0
0.43,0.54,2,153,3,0
0.9,0.98,4,264,6,0
0.76,0.86,5,223,5,1
0.43,0.5,2,135,3,0
0.74,0.99,2,277,3,0
0.09,0.77,5,275,4,0
0.45,0.49,2,149,3,0
0.09,0.87,7,295,4,0
0.11,0.97,6,277,4,0
0.11,0.79,7,306,4,0
0.1,0.83,6,295,4,0
0.4,0.54,2,137,3,0
0.43,0.56,2,157,3,0
0.39,0.56,2,142,3,0
0.45,0.54,2,140,3,0
0.38,0.49,2,151,3,0
0.79,0.59,4,139,3,0
0.84,0.85,4,249,6,0
0.11,0.77,6,291,4,0
0.11,0.87,6,305,4,0
0.17,0.84,5,232,3,0
0.44,0.45,2,132,3,0
0.37,0.57,2,130,3,0
0.1,0.79,6,291,4,0
0.4,0.5,2,130,3,0
0.89,1,5,246,5,0
0.42,0.48,2,143,3,0
0.46,0.55,2,129,3,0
0.09,0.83,6,255,4,0
0.37,0.51,2,155,3,0
0.1,0.77,6,265,4,0
0.1,0.84,6,279,4,0
0.11,0.97,6,284,4,0
0.9,1,5,221,6,0
0.38,0.52,2,154,3,0
0.36,0.52,2,147,3,0
0.42,0.46,2,150,3,0
0.09,0.94,7,267,4,0
0.43,0.52,2,158,3,0
0.24,0.46,7,224,5,0
0.91,1,4,257,5,0
0.44,0.5,2,148,3,0
0.71,0.87,3,177,4,0
0.4,0.49,2,155,3,0
0.43,0.47,2,144,3,0
0.09,0.85,6,289,4,0
0.43,0.52,2,160,3,0
0.9,0.96,4,258,5,0
0.84,1,5,234,5,0
0.37,0.48,2,137,3,0
0.86,0.68,5,263,2,0
0.11,0.84,6,251,4,0
0.37,0.57,2,133,3,0
0.4,0.46,2,132,3,0
0.14,0.62,4,158,4,1
0.4,0.46,2,135,3,0
0.75,1,4,216,6,0
0.11,0.84,6,300,5,1
0.46,0.49,2,138,3,0
0.11,0.92,6,260,4,0
0.38,0.49,2,132,3,0
0.7,0.89,3,183,5,0
0.09,0.82,6,250,4,0
0.37,0.45,2,151,3,0
0.1,0.83,6,292,4,0
0.38,0.57,2,140,3,0
0.9,1,5,221,5,0
0.44,0.51,2,138,3,0
0.36,0.5,2,132,3,0
0.31,0.84,7,133,5,0
0.1,0.84,6,283,4,1
0.42,0.48,2,129,3,0
0.74,1,4,249,5,0
0.73,0.87,5,257,5,0
0.09,0.96,6,245,4,0
0.45,0.53,2,155,3,0
0.11,0.8,6,256,4,0
0.37,0.47,2,152,3,0
0.84,0.99,4,267,5,0
0.41,0.46,2,151,3,0
0.76,0.92,4,239,5,0
0.11,0.87,6,306,4,0
0.84,0.88,4,263,5,1
0.39,0.5,2,147,3,0
0.11,0.91,6,278,4,0
0.45,0.56,2,154,3,0
0.37,0.52,2,143,3,0
0.4,0.52,2,155,3,0
0.39,0.48,2,160,3,0
0.11,0.8,6,304,4,0
0.83,1,5,240,5,0
0.11,0.92,6,305,4,0
0.39,0.5,2,136,3,0
0.45,0.45,2,132,3,0
0.1,0.95,7,301,4,0
0.9,0.98,5,243,6,0
0.45,0.51,2,147,3,0
0.79,0.89,5,239,5,0
0.9,0.99,5,260,5,0
0.11,0.84,7,296,4,0
0.43,0.55,2,129,3,0
0.31,0.54,5,132,5,0
0.32,0.5,2,135,5,0
0.45,0.57,2,158,3,0
0.81,0.99,4,259,5,0
0.41,0.46,2,160,3,0
0.11,0.78,7,278,4,0
0.1,0.88,6,284,4,0
0.7,0.53,2,274,4,0
0.54,0.74,4,164,2,0
0.41,0.48,2,148,3,0
0.38,0.5,2,140,3,0
0.37,0.51,2,127,3,0
0.11,0.85,6,308,5,0
0.4,0.47,2,146,3,0
0.1,0.84,6,261,4,0
0.89,0.99,5,257,5,0
0.11,0.8,6,285,4,0
0.36,0.55,2,141,3,0
0.4,0.46,2,127,3,0
0.09,0.85,6,297,4,0
0.4,0.46,2,143,3,0
0.37,0.55,2,152,3,0
0.44,0.51,2,156,3,0
0.09,0.8,7,283,5,0
0.92,0.87,4,226,6,1
0.74,0.91,4,232,5,0
0.09,0.82,6,249,4,0
0.89,0.95,4,275,5,0
0.09,0.8,6,304,4,0
0.27,0.54,7,278,3,0
0.1,0.91,6,287,4,0
0.1,0.89,7,285,4,0
0.77,0.94,5,226,6,0
0.9,0.82,5,259,5,0
0.39,0.5,2,135,3,0
0.76,1,5,219,5,0
0.1,0.93,6,256,4,0
0.87,0.9,5,254,6,0
0.38,0.5,2,153,3,0
0.77,0.99,5,228,5,0
0.78,0.87,4,228,5,0
0.44,0.5,2,128,3,0
0.38,0.52,2,153,3,0
0.43,0.46,2,156,3,0
0.39,0.5,4,294,3,0
0.88,1,5,219,5,0
0.45,0.46,2,153,3,0
0.4,0.53,2,151,3,0
0.36,0.51,2,155,3,0
0.36,0.48,2,158,3,0
0.9,0.98,5,245,5,0
0.43,0.53,2,131,3,0
0.89,0.87,5,225,5,0
0.1,0.84,6,286,4,0
0.37,0.5,2,135,3,0
0.37,0.51,2,153,3,0
0.87,0.9,5,252,5,0
0.4,0.56,2,149,3,0
0.9,0.97,4,258,5,0
0.37,0.46,2,158,3,0
0.44,0.54,2,149,3,0
0.85,0.95,5,236,5,0
0.78,0.98,5,239,6,0
0.42,0.47,2,159,3,0
0.92,0.99,5,255,6,0
0.11,0.83,6,244,4,0
0.42,0.56,2,134,3,0
0.48,0.57,4,270,4,0
0.83,0.85,4,255,5,0
0.4,0.53,2,151,3,0
0.43,0.45,2,135,3,0
0.43,0.53,2,146,3,0
0.1,0.97,7,254,4,0
0.1,0.87,7,289,4,0
0.37,0.46,2,156,3,0
0.38,0.53,2,156,3,0
0.4,0.5,2,128,3,0
0.89,0.86,5,275,5,0
0.45,0.46,2,155,3,0
0.37,0.48,2,159,3,0
0.46,0.49,2,148,3,0
0.87,0.91,4,228,5,0
0.11,0.84,6,298,4,0
0.79,0.87,5,261,5,0
0.79,0.92,5,254,6,0
0.19,0.59,7,192,3,0
0.87,0.98,4,248,5,0
0.6,0.92,2,258,5,0
0.44,0.45,2,156,3,0
0.11,0.81,6,266,4,1
0.42,0.54,2,156,3,0
0.88,0.88,5,232,5,1
0.11,0.84,6,287,4,0
0.46,0.46,2,154,3,0
0.82,0.97,5,263,5,0
0.44,0.56,2,131,3,0
0.11,0.78,6,260,4,0
0.42,0.5,2,139,3,0
0.84,0.93,4,251,5,0
0.11,0.95,6,286,4,0
0.45,0.53,2,129,3,0
0.38,0.56,2,156,3,0
0.38,0.86,6,139,6,0
0.44,0.51,2,127,3,0
0.11,0.84,6,251,4,0
0.81,0.93,5,270,5,0
0.09,0.96,6,296,4,0
0.11,0.9,6,254,4,0
0.81,0.95,5,238,6,0
0.1,0.97,6,267,4,1
0.74,0.89,5,229,6,0
0.09,0.78,6,254,4,0
0.82,0.81,4,233,4,1
0.1,0.98,6,268,4,0
0.27,0.56,3,301,3,0
0.83,0.92,5,267,6,0
0.1,0.93,6,289,4,1
0.38,0.47,2,144,3,0
0.4,0.56,2,148,3,0
0.11,0.83,6,306,4,0
0.11,0.79,6,292,4,0
0.82,0.91,5,232,5,0
0.36,0.48,2,137,3,0
0.4,0.46,2,128,3,0
0.87,0.84,5,231,5,0
0.41,0.49,2,146,3,0
0.11,0.91,6,308,4,1
0.1,0.93,6,253,4,0
0.38,0.51,2,146,3,0
0.39,0.55,2,156,3,0
0.4,0.52,2,147,3,0
0.45,0.48,2,136,3,0
0.74,0.84,5,249,5,0
0.45,0.55,2,151,3,0
0.12,1,3,278,4,0
0.1,0.77,7,250,5,0
0.37,0.55,2,127,3,0
0.89,0.87,5,255,5,0
0.45,0.47,2,135,3,0
0.37,0.46,2,149,3,0
0.11,0.81,5,287,4,0
0.41,0.48,2,145,3,0
0.1,0.94,6,285,4,0
0.1,0.93,7,305,4,0
0.11,0.95,7,300,4,0
0.4,0.54,2,139,3,0
0.41,0.49,2,130,3,0
0.1,0.81,6,268,4,0
0.73,0.86,4,245,6,0
0.43,0.47,2,135,3,0
0.37,0.46,2,153,3,0
0.11,0.94,6,276,4,0
0.4,0.46,2,130,3,0
0.41,0.54,2,153,3,1
0.82,0.84,5,244,5,0
0.61,0.47,2,253,3,0
0.11,0.91,7,287,4,0
0.37,0.45,2,131,3,0
0.41,0.52,2,135,3,0
0.37,0.52,2,157,3,0
0.88,0.99,5,262,6,0
0.1,0.85,6,266,4,0
0.44,0.48,2,148,3,0
0.38,0.57,2,140,3,0
0.11,0.85,7,302,4,0
0.09,0.98,6,271,4,0
0.45,0.52,2,145,3,0
0.1,0.81,6,290,4,0
0.45,0.47,2,151,3,0
0.77,0.87,5,266,5,0
0.44,0.51,2,140,3,0
0.39,0.5,2,142,3,0
0.1,0.91,6,246,4,0
0.09,0.89,7,308,5,0
0.37,0.47,2,141,3,0
0.9,1,5,232,5,0
0.41,0.56,2,143,3,0
0.37,0.52,2,155,3,0
0.1,0.86,6,278,4,0
0.81,1,4,253,5,0
0.11,0.8,6,282,4,0
0.11,0.84,7,264,4,0
0.4,0.46,2,149,3,0
0.09,0.8,6,304,5,0
0.48,0.93,3,219,6,0
0.91,0.91,4,262,6,0
0.43,0.57,2,135,3,0
0.33,0.88,6,219,5,0
0.41,0.57,2,136,3,0
0.41,0.55,2,154,3,0
0.37,0.54,2,149,3,0
0.31,0.62,6,135,5,0
0.09,0.91,6,275,4,0
0.1,0.87,6,290,4,0
0.76,0.9,4,263,5,0
0.41,0.54,2,145,3,0
0.72,0.96,5,267,5,0
0.4,0.5,2,141,3,1
0.91,0.87,4,235,5,0
0.1,0.83,6,258,4,0
0.4,0.56,2,131,3,0
0.82,0.86,5,243,5,0
0.1,0.82,6,266,4,0
0.37,0.45,2,142,3,0
0.36,0.51,2,135,3,0
0.39,0.48,2,141,3,0
0.36,0.57,2,142,3,0
0.86,0.84,5,254,5,0
0.73,0.99,5,262,5,0
0.56,0.71,4,296,2,0
0.44,0.56,2,158,3,0
0.31,0.56,4,238,2,0
0.77,0.93,4,231,5,0
0.44,0.45,2,156,3,0
0.38,0.46,2,145,3,0
0.45,0.48,2,144,3,0
0.38,0.51,2,159,3,0
0.36,0.48,2,156,3,0
0.75,0.9,5,256,5,0
0.1,0.93,6,298,4,0
0.1,0.97,6,247,4,0
0.45,0.5,2,157,3,0
0.42,0.57,2,154,3,1
0.78,1,4,253,5,0
0.45,0.55,2,148,3,0
0.84,1,4,261,5,0
0.11,0.93,6,282,4,0
0.42,0.56,2,133,3,0
0.45,0.46,2,128,3,0
0.46,0.57,2,139,3,0
0.09,0.79,6,293,5,0
0.87,0.83,4,265,6,0
0.1,0.87,6,250,4,0
0.91,1,5,251,6,0
0.76,0.92,4,246,5,0
0.74,1,5,275,5,0
0.92,0.93,5,240,5,0
0.76,0.87,5,245,5,0
0.47,0.5,4,254,4,0
0.73,0.99,5,241,5,0
0.09,0.94,6,257,4,0
0.91,0.92,4,246,5,0
0.82,0.98,4,233,5,0
0.28,0.45,6,218,4,0
0.84,0.99,4,262,6,0
0.45,0.53,2,138,3,0
0.45,0.54,2,142,3,0
0.91,0.97,5,233,5,0
0.42,0.48,2,155,3,0
0.82,1,4,229,6,0
0.11,0.9,6,264,4,0
0.42,0.53,3,199,4,0
0.82,0.85,4,223,5,0
0.09,0.96,6,268,4,0
0.1,0.94,6,287,4,0
0.86,1,5,257,5,0
0.4,0.46,2,143,3,0
0.45,0.46,2,130,3,0
0.42,0.51,2,136,3,0
0.74,0.92,4,261,5,0
0.55,0.6,3,180,4,0
0.37,0.45,2,126,3,0
0.41,0.52,2,127,3,1
0.89,0.65,5,195,6,0
0.41,0.57,2,160,3,0
0.44,0.51,2,150,3,0
0.87,0.84,4,264,6,0
0.1,0.84,6,309,4,0
0.41,0.47,2,135,3,0
0.11,0.85,6,261,4,0
0.43,0.53,2,160,3,0
0.77,0.9,4,237,5,0
0.41,0.52,2,136,3,0
0.41,0.48,2,139,3,0
0.36,0.78,2,151,4,0
0.77,1,5,229,5,0
0.81,0.98,5,245,5,0
0.39,0.54,2,127,3,0
0.09,0.94,6,283,5,0
0.44,0.46,2,143,3,0
0.1,0.84,5,298,4,0
0.36,0.48,2,159,3,0
0.81,0.92,5,239,5,0
0.81,0.9,4,226,5,0
0.85,0.98,5,248,5,0
0.1,0.87,6,286,4,0
0.37,0.54,2,145,3,0
0.09,0.97,7,254,4,1
0.44,0.53,2,127,3,0
0.86,0.93,5,223,5,0
0.77,1,4,255,5,0
0.41,0.48,2,136,3,0
0.4,0.48,2,137,3,0
0.43,0.49,2,135,3,0
0.43,0.5,2,137,3,0
0.8,0.53,3,255,5,0
0.8,0.85,4,273,5,0
0.82,0.98,5,234,5,0
0.37,0.54,2,152,3,0
0.37,0.48,2,134,3,0
0.09,0.95,6,292,4,0
0.9,0.92,5,245,5,0
0.41,0.52,2,159,3,0
0.1,0.85,6,260,4,0
0.44,0.53,2,149,3,0
0.89,0.85,5,266,5,0
0.42,0.56,2,149,3,0
0.87,1,5,242,5,0
0.45,0.57,2,134,3,0
0.11,0.87,5,271,4,0
0.09,0.79,6,275,4,0
0.76,0.83,5,227,5,0
0.11,0.96,7,277,5,0
0.37,0.49,2,151,3,0
0.1,0.79,6,274,4,0
0.77,0.87,4,242,6,0
0.42,0.54,2,143,3,1
0.38,0.52,2,145,3,0
0.32,0.95,5,172,2,0
0.38,0.49,2,135,3,0
0.19,1,4,192,4,0
0.1,0.83,7,276,4,0
0.76,0.88,4,206,4,0
0.53,0.56,4,281,6,0
0.39,0.51,2,151,3,0
0.11,0.83,6,244,4,0
0.1,0.94,6,309,4,0
0.84,1,5,218,5,0
0.82,0.99,4,263,6,0
0.1,0.82,6,244,4,0
0.59,0.49,7,263,4,0
0.44,0.48,2,143,3,0
0.89,0.95,2,181,5,0
0.91,0.84,5,265,5,0
0.66,0.57,5,161,5,0
0.11,0.87,7,282,5,0
0.43,0.51,2,155,3,0
0.78,0.83,4,217,6,0
0.11,0.97,6,289,5,0
0.83,0.98,4,259,5,0
0.39,0.54,2,158,3,0
0.38,0.55,2,158,3,0
0.37,0.57,2,155,3,0
0.44,0.48,2,146,3,0
0.53,0.85,2,164,5,0
0.09,0.96,6,259,4,0
0.11,0.89,6,293,4,0
0.83,0.96,5,275,5,0
0.88,1,5,219,6,1
0.1,0.89,6,247,4,0
0.09,0.86,7,309,4,0
0.44,0.54,2,151,3,0
0.39,0.51,2,129,3,0
0.87,0.94,4,274,5,0
0.74,0.99,4,233,5,0
0.1,0.95,7,289,4,0
0.74,0.82,4,239,6,0
0.75,0.99,5,221,5,0
0.41,0.56,2,150,3,0
0.41,0.45,2,144,3,1
0.09,0.9,7,289,4,0
0.09,0.8,6,301,5,0
0.39,0.57,2,145,3,0
0.4,0.56,2,137,3,0
0.37,0.54,2,131,3,1
0.1,0.84,6,246,4,0
0.43,0.51,2,136,3,0
0.75,0.85,5,240,6,1
0.37,0.56,2,156,3,0
0.11,0.85,6,305,4,0
0.45,0.45,2,154,3,1
0.87,1,5,261,5,1
0.11,0.94,7,244,4,0
0.45,0.54,2,129,3,0
0.81,0.87,4,254,5,0
0.77,0.91,5,236,5,0
0.89,0.92,5,237,5,0
0.43,0.49,2,135,3,0
0.78,1,5,236,5,0
0.37,0.47,2,149,3,0
0.37,0.5,2,141,3,0
0.85,0.82,4,270,5,0
0.41,0.47,2,138,3,0
0.11,0.96,6,298,4,0
0.75,0.99,5,254,5,0
0.82,0.85,5,248,5,0
0.79,1,5,257,6,0
0.43,0.53,2,150,3,0
0.1,0.9,7,281,4,0
0.46,0.48,2,141,3,1
0.43,0.57,2,157,3,0
0.43,0.55,2,136,3,0
0.11,0.8,7,296,4,0
0.09,0.86,6,279,4,0
0.37,0.53,2,131,3,0
0.4,0.57,2,160,3,0
0.1,0.77,7,291,4,0
0.41,0.53,2,157,3,0
0.79,0.58,3,294,4,0
0.11,0.79,7,310,4,0
0.1,0.97,6,282,4,0
0.44,0.51,2,134,3,0
0.25,0.46,4,214,4,0
0.44,0.52,2,137,3,0
0.73,1,4,252,5,0
0.75,0.97,5,243,6,0
0.36,0.47,2,148,3,0
0.37,0.49,2,151,3,0
0.39,0.49,2,129,3,0
0.48,0.78,2,198,2,0
0.57,0.72,4,275,6,0
0.9,0.96,5,243,5,0
0.39,0.55,2,159,3,0
0.44,0.51,2,145,3,0
0.81,0.88,5,242,5,0
0.74,0.87,5,242,5,0
0.44,0.56,2,145,3,0
0.41,0.56,2,154,3,0
0.4,0.51,2,139,3,0
0.46,0.57,2,152,3,0
0.8,0.83,2,211,3,0
0.87,0.9,5,258,5,0
0.39,0.54,2,155,3,0
0.38,0.55,2,148,3,0
0.66,0.67,2,255,3,0
0.1,0.8,6,264,4,0
0.37,0.54,2,132,3,0
0.1,0.77,6,255,4,0
0.09,0.87,5,263,4,0
0.86,0.84,5,222,5,0
0.11,0.9,6,263,4,0
0.37,0.46,2,157,3,0
0.11,0.92,7,307,4,0
0.77,0.98,5,259,6,0
0.84,0.94,5,222,6,0
0.1,0.84,7,250,4,0
0.83,0.9,5,245,5,0
0.11,0.79,6,292,4,0
0.86,0.92,5,252,5,0
0.38,0.56,2,161,3,0
0.11,0.88,5,250,4,0
0.45,0.49,2,134,3,0
0.1,0.85,7,279,4,0
0.09,0.95,7,256,4,0
0.39,0.53,2,127,3,0
0.37,0.47,2,138,3,1
0.81,0.97,5,243,5,0
0.09,0.9,7,296,4,0
0.1,0.88,7,267,4,0
0.39,0.49,2,144,3,0
0.83,0.95,4,251,5,0
0.45,0.57,2,148,3,0
0.43,0.51,2,141,3,0
0.8,0.75,3,268,2,0
0.1,0.86,6,247,4,0
0.1,0.55,2,247,4,0
0.36,0.52,2,146,3,0
0.38,0.5,2,140,3,0
0.78,0.98,5,263,6,0
0.44,0.49,2,145,3,0
0.41,0.46,2,156,3,1
0.72,0.85,5,244,6,0
0.46,0.54,2,144,3,0
0.1,0.9,7,286,4,0
0.34,0.67,4,141,2,0
0.11,0.89,6,260,5,0
0.38,0.56,2,154,3,0
0.82,0.92,5,225,5,0
0.39,0.57,2,127,3,0
0.44,0.53,2,140,3,0
0.43,0.52,2,147,3,0
0.84,0.83,4,227,5,0
0.43,0.48,2,153,3,0
0.37,0.52,2,128,3,0
0.74,0.97,4,228,5,0
0.73,0.97,5,235,5,0
0.37,0.47,2,148,3,0
0.58,0.62,4,238,3,0
0.4,0.54,2,141,3,0
0.51,0.83,5,249,4,0
0.46,0.5,2,151,3,0
0.45,0.54,2,129,3,0
0.46,0.5,2,156,3,0
0.39,0.45,2,134,3,0
0.09,0.88,6,269,4,0
0.09,0.77,6,290,4,0
0.37,0.51,2,132,3,0
0.1,0.89,7,308,4,0
0.77,1,4,232,5,0
0.79,0.86,5,235,5,0
0.43,0.55,2,130,3,0
0.38,0.53,2,146,3,0
0.77,0.91,5,221,6,0
0.44,0.5,2,130,3,0
0.39,0.46,2,136,3,0
0.78,0.89,5,274,6,0
0.1,0.79,6,256,5,0
0.1,0.77,5,276,4,0
0.75,0.85,5,267,5,0
