fips	tvotes	clintonpct	sanderspct	undervt	ratio
37121	777	0.404118404	0.579150579	0.016731017	0.44150719
36031	2640	0.268181818	0.731818182	0	0.458213196
36089	6967	0.411224343	0.588775657	0	0.462630243
36093	13008	0.472478475	0.527521525	0	0.466809565
36075	5490	0.441530055	0.558469945	0	0.478184788
36113	4276	0.383302152	0.616697848	0	0.505193263
36123	1221	0.452088452	0.547911548	0	0.509106665
37011	788	0.413705584	0.539340102	0.046954315	0.511116049
36115	3254	0.358635526	0.641364474	0	0.513920757
12115	42338	0.611294818	0.372620341	0.016084841	0.518979187
36017	2452	0.390701468	0.609298532	0	0.542778096
36083	11387	0.416088522	0.583911478	0	0.554334561
36039	2520	0.421428571	0.578571429	0	0.555061522
36117	4178	0.444949737	0.555050263	0	0.560700014
36035	2266	0.388790821	0.611209179	0	0.564325707
36049	1097	0.409298086	0.590701914	0	0.565912188
36053	4226	0.444865121	0.555134879	0	0.567867005
36041	333	0.369369369	0.630630631	0	0.569591552
12111	26240	0.668978659	0.308346037	0.022675305	0.575918393
4025	15885	0.528863708	0.447466163	0.023670129	0.579146929
37189	8484	0.296322489	0.684936351	0.01874116	0.582309544
36023	3280	0.427439024	0.572560976	0	0.590409572
36021	5783	0.429016082	0.570983918	0	0.593528578
36019	5851	0.264911981	0.735088019	0	0.593619397
36045	4845	0.491021672	0.508978328	0	0.594182659
4013	218587	0.580949462	0.39774552	0.021305018	0.596117237
36069	1724	0.464037123	0.535962877	0	0.599310798
36043	3132	0.439655172	0.560344828	0	0.601121977
36111	18499	0.374452673	0.625547327	0	0.6028085
36011	5037	0.473099067	0.526900933	0	0.606176254
37117	3997	0.617713285	0.274455842	0.107830873	0.607469494
36073	1527	0.425671251	0.574328749	0	0.608983076
36051	4021	0.400646605	0.599353395	0	0.611711431
36101	4679	0.421030135	0.578969865	0	0.613129654
36033	3299	0.291300394	0.708699606	0	0.615293091
36025	2730	0.390842491	0.609157509	0	0.621632152
36067	38454	0.530425963	0.469574037	0	0.623753074
36077	4440	0.409234234	0.590765766	0	0.626162194
37089	10238	0.469915999	0.500976753	0.029107248	0.631160578
4021	15724	0.621406767	0.344314424	0.034278809	0.642684875
36107	3057	0.403009486	0.596990514	0	0.643071088
36015	5084	0.495672699	0.504327301	0	0.648227143
36103	91289	0.546900503	0.453099497	0	0.649714571
36027	22685	0.485122328	0.514877672	0	0.650803436
36037	2801	0.450553374	0.549446626	0	0.653447966
12087	8740	0.552631579	0.427803204	0.019565217	0.65548912
4005	12998	0.441452531	0.534005232	0.024542237	0.658676963
12085	10902	0.598330582	0.37616951	0.025499908	0.66475829
4015	7398	0.563665856	0.384833739	0.051500406	0.664785413
36003	1881	0.405103668	0.594896332	0	0.666593252
36121	1503	0.395209581	0.604790419	0	0.67059454
12071	44592	0.626569788	0.350376749	0.023053463	0.671384426
36079	7050	0.493191489	0.506808511	0	0.671748242
12021	19229	0.66108482	0.318633314	0.020281866	0.674454732
12015	13080	0.62117737	0.354281346	0.024541284	0.676185152
4019	98324	0.572769619	0.409137138	0.018093243	0.676461153
12109	17092	0.569506202	0.406798502	0.023695296	0.677625229
36095	1710	0.36374269	0.63625731	0	0.682031591
12086	173228	0.747379177	0.242506985	0.010113838	0.682381073
37135	36242	0.48413443	0.499310193	0.016555378	0.684472042
12097	24216	0.681863231	0.300338619	0.01779815	0.685007492
12103	105601	0.603204515	0.376341133	0.020454352	0.68795151
37175	3919	0.457769839	0.498596581	0.04363358	0.691834452
36099	2206	0.472348141	0.527651859	0	0.69336131
36097	1309	0.375095493	0.624904507	0	0.693464603
36055	72026	0.517993502	0.482006498	0	0.697861061
37183	145954	0.533914795	0.447949354	0.018135851	0.698807085
36071	23775	0.514784437	0.485215563	0	0.699616844
12101	37304	0.583315462	0.388510615	0.028173922	0.705451465
12035	9344	0.658390411	0.318600171	0.023009418	0.706164553
37129	25279	0.484196369	0.485620475	0.030183156	0.70714854
4003	8137	0.567408136	0.394125599	0.038466265	0.707856302
12095	104441	0.638197643	0.350810505	0.010991852	0.714601661
37059	2550	0.54	0.404313725	0.055686275	0.716363621
4023	3793	0.658054311	0.317690482	0.024255207	0.717288391
12061	11051	0.624106416	0.355261967	0.020631617	0.71811459
36007	16211	0.433964592	0.566035408	0	0.719153173
12081	28977	0.625185492	0.350795458	0.02401905	0.719425921
36057	2815	0.420959147	0.579040853	0	0.720265613
36059	113248	0.62647464	0.37352536	0	0.722077392
37021	49772	0.353692839	0.62109218	0.02521498	0.723337341
36109	14923	0.376934933	0.623065067	0	0.723384587
37053	1633	0.4776485	0.434782609	0.087568892	0.73125542
4012	598	0.516722408	0.433110368	0.050167224	0.7313546
36105	4759	0.438747636	0.561252364	0	0.7325914
12099	144633	0.714698582	0.271819018	0.0134824	0.733299515
12127	43619	0.602398038	0.370710012	0.026891951	0.736493985
37125	7961	0.587740234	0.370305238	0.041954528	0.740683016
37119	118146	0.603194353	0.382780627	0.01402502	0.740835238
36065	13326	0.454299865	0.545700135	0	0.743386654
12053	14898	0.596187408	0.369982548	0.033830044	0.743672482
12057	109839	0.627609501	0.350558545	0.021831954	0.744453068
4027	6843	0.63685518	0.315066491	0.048078328	0.74457017
36013	7564	0.46047065	0.53952935	0	0.747720201
12009	53309	0.597178713	0.376728132	0.026093155	0.750448051
12011	182737	0.725233532	0.264478458	0.01028801	0.751611311
37063	62329	0.575093456	0.410467038	0.014439506	0.753189267
37149	2304	0.476996528	0.487413194	0.035590278	0.763229995
36119	87045	0.672583147	0.327416853	0	0.768582954
37019	11963	0.601186993	0.35542924	0.043383767	0.769182514
36009	4085	0.420563035	0.579436965	0	0.771705481
12069	25073	0.634706657	0.337614167	0.027679177	0.774006742
36091	16318	0.441598235	0.558401765	0	0.777788428
12017	12194	0.562817779	0.391668033	0.045514187	0.778020873
37035	10361	0.512498794	0.440208474	0.047292732	0.778121243
36001	38872	0.474634698	0.525365302	0	0.78292358
37197	1732	0.480369515	0.452078522	0.067551963	0.783553681
37055	4714	0.42490454	0.489393297	0.085702164	0.787606795
37179	13679	0.557789312	0.405512099	0.036698589	0.788800782
12091	8769	0.519899646	0.431292052	0.048808302	0.793651888
37067	42135	0.580182746	0.398220007	0.021597247	0.794049511
37099	5301	0.381437465	0.569892473	0.048670062	0.796341497
37097	11559	0.509386625	0.432390345	0.05822303	0.796932143
37133	8420	0.541567696	0.381591449	0.076840855	0.798089016
22071	54347	0.747069755	0.24078606	0.012144185	0.798956954
37037	13464	0.550059418	0.409239453	0.040701129	0.800064485
12119	10316	0.68069019	0.292943001	0.026366809	0.801866258
37025	15655	0.51715107	0.442733951	0.040114979	0.804189414
12105	46516	0.630492734	0.332638232	0.036869034	0.804907551
37081	67608	0.560288723	0.417169566	0.022541711	0.80799884
36063	16610	0.463214931	0.536785069	0	0.816642706
36061	267723	0.662983756	0.337016244	0	0.816910037
37051	35607	0.638750807	0.310388407	0.050860786	0.817579765
12001	36031	0.492159529	0.488190725	0.019649746	0.824250597
36081	198691	0.615961468	0.384038532	0	0.82619291
37093	5906	0.597358618	0.311039621	0.091601761	0.833015662
12083	29045	0.627302462	0.34057497	0.032122568	0.834281722
12019	9366	0.570681187	0.394832372	0.03448644	0.839248033
37111	3311	0.408637874	0.489882211	0.101479915	0.840438898
36005	136886	0.699647882	0.300352118	0	0.84532443
36029	92947	0.501651479	0.498348521	0	0.849082132
4001	6703	0.663881844	0.288378338	0.047739818	0.850468358
37139	3787	0.652495379	0.297861104	0.049643517	0.864420294
12031	87287	0.671715147	0.306070778	0.022214075	0.865034376
37159	9545	0.527082242	0.415819801	0.057097957	0.866563999
4017	7398	0.596782914	0.354284942	0.048932144	0.871708553
37031	6074	0.48501811	0.443529799	0.071452091	0.873794778
12073	48345	0.565373875	0.410921502	0.023704623	0.874197832
36047	290563	0.599649646	0.400350354	0	0.874427011
37141	5102	0.564484516	0.368482948	0.067032536	0.878756656
36087	28038	0.605107354	0.394892646	0	0.881529495
12117	37857	0.582956917	0.39886943	0.018173653	0.884046263
12055	6041	0.614302268	0.340009932	0.0456878	0.884826062
37173	1624	0.410098522	0.511699507	0.07820197	0.885152067
37193	4182	0.503825921	0.426351028	0.069823051	0.889557094
12033	26935	0.622424355	0.345943939	0.031631706	0.890860999
37049	8928	0.580981183	0.356630824	0.062387993	0.89413857
36085	30467	0.529326813	0.470673187	0	0.894285834
37147	20804	0.569890406	0.362814843	0.067294751	0.894842661
37027	4590	0.469716776	0.459259259	0.071023965	0.900082814
4007	3623	0.595086945	0.348054099	0.056858957	0.900945016
37023	7619	0.46082163	0.454127838	0.085050532	0.904644786
37109	5483	0.512857924	0.417836951	0.069305125	0.906295363
37071	14239	0.540557623	0.402977737	0.056464639	0.907098376
37043	923	0.527627302	0.384615385	0.087757313	0.912240677
37151	6366	0.466383915	0.457744266	0.075871819	0.912484708
37101	15349	0.520685387	0.405433579	0.073881035	0.924235573
37199	2799	0.405144695	0.495176849	0.099678457	0.929428378
37057	8923	0.503081923	0.434607195	0.062310882	0.929682093
37001	13727	0.537189481	0.41924674	0.043563779	0.933216142
22033	42051	0.783810135	0.189531759	0.026658106	0.935960426
37069	8337	0.593858702	0.342809164	0.063332134	0.939086203
37009	2626	0.464204113	0.45887281	0.076923077	0.943235895
22017	20897	0.797530746	0.168110255	0.034358999	0.94477416
12089	5175	0.562318841	0.398067633	0.039613527	0.95806726
37085	8446	0.551148473	0.368340043	0.080511485	0.958921421
12131	3033	0.49950544	0.44873063	0.05176393	0.967068373
37087	8417	0.445289295	0.460140192	0.094570512	0.970760311
37105	5904	0.546070461	0.380758808	0.073170732	0.981528049
22065	877	0.823261117	0.111744584	0.064994299	0.984253574
22095	4500	0.848444444	0.125333333	0.026222222	0.9881249
37191	12067	0.625341841	0.295350957	0.079307201	0.988764386
37169	2998	0.477985324	0.439959973	0.082054703	0.988843429
22061	2248	0.752669039	0.193950178	0.053380783	0.990149665
40109	68339	0.501251116	0.473638771	0.025110113	0.992326919
37077	7980	0.588095238	0.340225564	0.071679198	0.999656227
12005	9909	0.525683722	0.416893733	0.057422545	1.004886128
37167	4381	0.49144031	0.413832458	0.094727231	1.007891387
37195	9986	0.641698378	0.293911476	0.064390146	1.013888445
12051	1907	0.606187729	0.33927635	0.05453592	1.0158219
40143	53477	0.474446959	0.496007629	0.029545412	1.023860706
37165	4241	0.629804291	0.269276114	0.100919594	1.024213757
40027	27714	0.376452335	0.592768998	0.030778668	1.028568645
37185	4037	0.70027248	0.24473619	0.05499133	1.031575892
12093	2083	0.552088334	0.376380221	0.071531445	1.031971887
37163	5770	0.656845754	0.26932409	0.073830156	1.032238243
37127	12992	0.658405172	0.282019704	0.059575123	1.036204299
22051	25959	0.677260295	0.270580531	0.052159174	1.03681762
37083	9325	0.667453083	0.248042895	0.084504021	1.037784396
37003	2508	0.457735247	0.447767145	0.094497608	1.042472015
4009	1845	0.491598916	0.443902439	0.064498645	1.043060603
22073	11439	0.78634496	0.157618673	0.056036367	1.043437643
37091	4334	0.675126904	0.221735118	0.103137979	1.043509902
37157	8213	0.543528552	0.365274565	0.091196883	1.047264833
37143	1382	0.51447178	0.34804631	0.13748191	1.051395844
37041	1576	0.618020305	0.29822335	0.083756345	1.052155016
4011	911	0.545554336	0.356750823	0.097694841	1.053618051
37181	7129	0.639781175	0.280403984	0.079814841	1.062732921
37065	9053	0.70816304	0.227327958	0.064509003	1.063697863
37029	864	0.541666667	0.344907407	0.113425926	1.06742755
37013	5274	0.556313993	0.348881305	0.094804702	1.076132249
40119	6749	0.388502	0.56734331	0.04415469	1.077383255
22069	3736	0.68120985	0.226445396	0.092344754	1.077513363
37039	2334	0.438731791	0.437446444	0.123821765	1.083750268
37171	5014	0.474670921	0.439569206	0.085759872	1.084845533
37145	5788	0.510366275	0.371458189	0.118175536	1.086841426
12039	9744	0.764162562	0.199507389	0.036330049	1.089964489
22125	1126	0.801065719	0.147424512	0.051509769	1.091270962
37137	1739	0.530189764	0.388729155	0.081081081	1.095860332
37073	1214	0.616968699	0.29324547	0.089785832	1.099549207
22027	1006	0.763419483	0.157057654	0.079522863	1.104069206
12027	1878	0.525559105	0.38658147	0.087859425	1.104385122
22035	577	0.880415945	0.081455806	0.03812825	1.104655199
37131	4669	0.684300707	0.228528593	0.0871707	1.10504751
37045	8728	0.559120073	0.35563703	0.085242896	1.108321627
12075	3138	0.500318674	0.431485022	0.068196303	1.10918161
22103	10475	0.572410501	0.362768496	0.064821002	1.110664675
22055	9923	0.596593772	0.35503376	0.048372468	1.111688388
22067	1920	0.788020833	0.155208333	0.056770833	1.113529857
37015	2973	0.694584595	0.254288597	0.051126808	1.113893099
37033	2843	0.598311643	0.31129089	0.090397467	1.116840982
37123	2490	0.548594378	0.355421687	0.095983936	1.117329629
22015	4389	0.66507177	0.270448849	0.06447938	1.121850725
37007	3492	0.660652921	0.261741123	0.077605956	1.123281322
37161	5182	0.459668082	0.44500193	0.095329988	1.123645633
37061	4963	0.611726778	0.292161999	0.096111223	1.124623048
22037	2381	0.775724486	0.145737085	0.078538429	1.131546038
37107	7375	0.641491525	0.264	0.094508475	1.132323448
22091	1680	0.8375	0.110714286	0.051785714	1.135063619
37153	5148	0.571289821	0.30982906	0.118881119	1.146504659
37075	725	0.442758621	0.406896552	0.150344828	1.147147297
22031	1955	0.771355499	0.162659847	0.065984655	1.150976621
22013	1373	0.769118718	0.161689731	0.069191551	1.155535721
37103	1568	0.580357143	0.319515306	0.100127551	1.159793553
22081	704	0.752840909	0.166193182	0.080965909	1.16140055
22101	2736	0.729166667	0.195540936	0.075292398	1.173523807
22089	3246	0.691620456	0.242452249	0.065927295	1.173656
40147	3888	0.424125514	0.515946502	0.059927984	1.174123953
22107	594	0.828282828	0.102693603	0.069023569	1.176957557
37155	16585	0.509918601	0.313898101	0.176183298	1.184931043
22047	5314	0.696085811	0.196085811	0.107828378	1.186567139
37187	2213	0.620876638	0.269769544	0.109353818	1.19305391
12107	6440	0.494099379	0.426552795	0.079347826	1.194321531
22005	5937	0.710965134	0.233114368	0.055920499	1.20224962
22121	2966	0.73432232	0.198583951	0.067093729	1.202761666
22105	6497	0.656764661	0.254886871	0.088348469	1.207498418
22075	941	0.716259299	0.227417641	0.056323061	1.211918234
12043	776	0.49871134	0.403350515	0.097938144	1.212196031
